Class	Feature	Mean	Standard Deviation
normal	1	-0.5674373135	1.3411870687
normal	2	0.0778315186	1.0770483731
normal	3	0.0660617553	0.8813792303
normal	4	0.1205924137	0.7046374451
normal	5	0.2152007505	0.5753238195
normal	6	0.1371253104	0.6074541153
normal	7	-0.1027375210	0.4447812637
normal	8	-0.0300014979	0.4142562574
normal	9	0.0514472117	0.3375493596
normal	10	0.0802779397	0.3573237277
normal	11	0.0738807167	0.3577725043
normal	12	0.0826491755	0.3186968120
normal	13	0.0146281998	0.2802043171
normal	14	0.0406345528	0.2637038593
normal	15	0.0456985784	0.2650022439
normal	16	0.0170585731	0.2235379569
normal	17	0.0148871174	0.2254578594
normal	18	-0.0156560934	0.2103365881
normal	19	0.0213269479	0.2218851084
normal	20	-0.0165389829	0.2072149671
normal	21	-0.0231377638	0.1852341216
normal	22	0.0112454027	0.1994424907
normal	23	-0.0045625168	0.1827810207
normal	24	0.0084224244	0.1943632654
normal	25	0.0035404394	0.1742925577
normal	26	-0.0022048068	0.1838625076
normal	27	-0.0072776616	0.1723699225
normal	28	-0.0159128602	0.1929222068
normal	29	0.0132035529	0.1688791010
normal	30	0.0051211096	0.1681948704
normal	31	-0.0001401098	0.1774330876
normal	32	0.0029718987	0.1656171701
normal	33	-0.0023327340	0.1582266791
normal	34	0.0071260192	0.1601236372
normal	35	0.0059394720	0.1560172433
normal	36	0.0045679415	0.1469477737
normal	37	0.0045031796	0.1440721005
normal	38	0.0132897860	0.1394331054
normal	39	0.0031270923	0.1351555191
normal	40	0.0003589631	0.1347878380
normal	41	0.0032969926	0.1338075228
normal	42	-0.0024665700	0.1288011036
normal	43	-0.0132300153	0.1363332743
normal	44	0.0153322715	0.1312935110
normal	45	-0.0066374075	0.1376569615
normal	46	-0.0003629950	0.1267394313
normal	47	-0.0002615287	0.1257173431
normal	48	-0.0040010186	0.1212903258
normal	49	0.0031812045	0.1216648307
normal	50	0.0021736569	0.1190545199
normal	51	-0.0003893175	0.1208081712
normal	52	-0.0047536507	0.1161695648
normal	53	-0.0034646209	0.1214375892
normal	54	0.0014682944	0.1159830176
normal	55	-0.0002345341	0.1181780362
normal	56	0.0020641132	0.1205561341
normal	57	0.0050512250	0.1240988892
normal	58	0.0080724729	0.1182798540
normal	59	-0.0008280843	0.1100343637
normal	60	0.0031312847	0.1148642272
normal	61	-0.0119973759	0.1158151652
normal	62	0.0006823438	0.1187880622
normal	63	0.0003876417	0.1121132876
normal	64	-0.0046610382	0.1082750799
normal	65	-0.0001786587	0.1109919458
normal	66	0.0060332953	0.1079190788
normal	67	-0.0005439285	0.1039391401
normal	68	-0.0012055553	0.1042835954
normal	69	-0.0020463662	0.0991375112
normal	70	0.0018445277	0.0964916414
normal	71	0.0003561879	0.0979754495
normal	72	-0.0088978038	0.0941529316
normal	73	-0.0026149866	0.0963505889
normal	74	-0.0040023397	0.0892411815
normal	75	-0.0049132078	0.0847452448
normal	76	0.0011886777	0.0850014994
normal	77	0.0003553364	0.0830394239
normal	78	0.0015367449	0.0814730421
normal	79	0.0007891102	0.0853195086
normal	80	0.0044434728	0.0802126215
normal	81	0.0058169596	0.0822280599
normal	82	-0.0009586840	0.0757630394
normal	83	-0.0019629593	0.0814017619
normal	84	0.0014248236	0.0727268813
normal	85	0.0077018327	0.0735967042
normal	86	-0.0038450046	0.0692966294
normal	87	-0.0009511029	0.0701915835
normal	88	-0.0010444466	0.0708590057
normal	89	0.0021883124	0.0702344083
normal	90	0.0006109903	0.0705652203
normal	91	0.0037203153	0.0655997223
normal	92	-0.0009156756	0.0687950941
normal	93	-0.0070221519	0.0690053031
normal	94	0.0037860927	0.0667695155
normal	95	0.0001395607	0.0671319371
normal	96	0.0036603097	0.0633102714
normal	97	-0.0012468139	0.0633364274
normal	98	-0.0023246836	0.0639402748
normal	99	0.0033491675	0.0615731627
normal	100	-0.0012149331	0.0626615441
normal	101	-0.0015992542	0.0613488671
normal	102	0.0015433708	0.0606365795
normal	103	-0.0026498057	0.0580476062
normal	104	0.0015197617	0.0582517358
normal	105	-0.0000268101	0.0575700813
normal	106	-0.0006264110	0.0561958646
normal	107	-0.0015841849	0.0551509177
normal	108	-0.0004845037	0.0535162448
normal	109	0.0007636399	0.0524124071
normal	110	-0.0020637504	0.0533330614
normal	111	0.0008122020	0.0518279541
normal	112	-0.0003282098	0.0524222377
normal	113	0.0006488916	0.0488628818
normal	114	-0.0022164918	0.0487582816
normal	115	-0.0001118943	0.0483605684
normal	116	-0.0000489169	0.0488385663
normal	117	-0.0005109598	0.0485544304
normal	118	0.0015723030	0.0461280601
normal	119	0.0009435724	0.0469247997
normal	120	-0.0005097183	0.0439749786
normal	121	-0.0005262616	0.0428330301
normal	122	0.0010186760	0.0457704019
normal	123	-0.0018988485	0.0455858519
normal	124	0.0005122225	0.0430157384
normal	125	0.0009840438	0.0439340408
normal	126	-0.0005707668	0.0440548048
normal	127	0.0012383567	0.0439542096
normal	128	0.0004085626	0.0426318541
normal	129	-0.0009993733	0.0404296531
normal	130	-0.0003373123	0.0448077791
normal	131	0.0008257909	0.0411572918
normal	132	-0.0013564421	0.0398667694
normal	133	0.0002424358	0.0405658894
normal	134	0.0026103155	0.0368007499
normal	135	0.0022827714	0.0363309351
normal	136	0.0008936715	0.0360824621
normal	137	-0.0003363598	0.0368383116
normal	138	0.0001547464	0.0336960692
normal	139	0.0007497954	0.0364155157
normal	140	0.0007064075	0.0346001221
normal	141	0.0032014523	0.0320518504
normal	142	-0.0013541688	0.0323755987
normal	143	-0.0003810096	0.0341831950
normal	144	0.0021449045	0.0311246428
normal	145	-0.0000231319	0.0324638259
normal	146	0.0019752693	0.0342139852
normal	147	0.0006532140	0.0316583185
normal	148	0.0000889525	0.0362675805
normal	149	-0.0010139217	0.0338230871
normal	150	0.0010631349	0.0330755983
normal	151	-0.0007037149	0.0311953152
normal	152	-0.0003941204	0.0324953958
normal	153	0.0003584302	0.0303234344
normal	154	0.0015209859	0.0298798185
normal	155	0.0000980765	0.0286080400
normal	156	-0.0009336436	0.0236744886
normal	157	-0.0004056254	0.0273767138
normal	158	0.0005682254	0.0287983114
normal	159	0.0004421755	0.0256521064
normal	160	0.0004310706	0.0272015938
normal	161	0.0000287837	0.0275392416
normal	162	-0.0001649978	0.0262066484
normal	163	-0.0005445642	0.0277365664
normal	164	0.0005057307	0.0277441334
normal	165	-0.0006672370	0.0241745228
normal	166	0.0003345132	0.0255473201
normal	167	-0.0002079203	0.0237687577
normal	168	0.0005608836	0.0202393544
normal	169	-0.0002249388	0.0219538637
normal	170	-0.0009541726	0.0261693311
normal	171	-0.0008757189	0.0255867900
normal	172	0.0003913166	0.0266455520
normal	173	0.0004114871	0.0250120479
